text,label
"Pakicheck ang iyong account, may problema 51",1
Maya: Update your info to avoid suspension 106,1
Punta tayo sa mall 428,0
"Ang iyong Maya account ay naka-lock, i-verify agad 284",1
URGENT: Verify your Metrobank account now 81,1
"GCash: Suspicious activity detected, verify now 178",1
Security alert: confirm your identity now 436,1
Anong oras tayo magkikita 139,0
"Ang iyong PayPal account ay naka-lock, i-verify agad 426",1
Final warning: account will be closed 479,1
"Pakicheck ang iyong account, may problema 147",1
Security alert: confirm your identity now 203,1
Hello kumusta ka 208,0
See you bukas 403,0
Good morning 328,0
Punta tayo sa mall 157,0
"Pakicheck ang iyong account, may problema 240",1
Salamat sa tulong 0,0
"BDO ALERT: Unauthorized login, confirm details 121",1
URGENT: Verify your PayPal account now 254,1
"Pakicheck ang iyong account, may problema 399",1
Anong oras tayo magkikita 373,0
"BDO ALERT: Unauthorized login, confirm details 195",1
Let's eat mamaya 294,0
Click here to secure your BDO account 215,1
Happy birthday! 206,0
"Pakicheck ang iyong account, may problema 487",1
Good morning 194,0
Click here to secure your Maya account 376,1
URGENT: Verify your BDO account now 143,1
"GCash: Suspicious activity detected, verify now 356",1
"Ang iyong Maya account ay naka-lock, i-verify agad 223",1
Salamat sa tulong 118,0
Maya: Update your info to avoid suspension 489,1
Anong oras tayo magkikita 146,0
Hello kumusta ka 22,0
Maya: Update your info to avoid suspension 331,1
Anong oras tayo magkikita 114,0
"GCash: Suspicious activity detected, verify now 20",1
Click here to secure your GCash account 483,1
Happy birthday! 290,0
I'll call you later 275,0
See you bukas 241,0
Hello kumusta ka 320,0
Anong oras tayo magkikita 494,0
Maya: Update your info to avoid suspension 0,1
Let's eat mamaya 489,0
URGENT: Verify your Metrobank account now 3,1
"BDO ALERT: Unauthorized login, confirm details 148",1
Salamat sa tulong 190,0
Happy birthday! 408,0
See you bukas 230,0
Good morning 296,0
URGENT: Verify your BDO account now 159,1
Happy birthday! 127,0
"BDO ALERT: Unauthorized login, confirm details 57",1
I'll call you later 166,0
Click here to secure your Maya account 36,1
URGENT: Verify your Maya account now 369,1
"BDO ALERT: Unauthorized login, confirm details 244",1
"Pakicheck ang iyong account, may problema 387",1
"Pakicheck ang iyong account, may problema 267",1
Final warning: account will be closed 282,1
I'll call you later 426,0
Meeting at 3 PM 227,0
Let's eat mamaya 379,0
"Ang iyong PayPal account ay naka-lock, i-verify agad 173",1
Security alert: confirm your identity now 253,1
Hello kumusta ka 354,0
Meeting at 3 PM 123,0
"Ang iyong Metrobank account ay naka-lock, i-verify agad 217",1
Anong oras tayo magkikita 167,0
Final warning: account will be closed 77,1
Anong oras tayo magkikita 163,0
"Pakicheck ang iyong account, may problema 138",1
Hello kumusta ka 382,0
Salamat sa tulong 455,0
I'll call you later 13,0
See you bukas 361,0
Maya: Update your info to avoid suspension 251,1
"BDO ALERT: Unauthorized login, confirm details 496",1
I'll call you later 89,0
See you bukas 429,0
Good morning 425,0
"GCash: Suspicious activity detected, verify now 441",1
Click here to secure your Metrobank account 314,1
Nanalo ka ng ₱5000! I-claim ngayon 120,1
Click here to secure your Metrobank account 445,1
"Pakicheck ang iyong account, may problema 335",1
Nanalo ka ng ₱5000! I-claim ngayon 46,1
Punta tayo sa mall 413,0
Punta tayo sa mall 177,0
Good morning 480,0
Happy birthday! 471,0
URGENT: Verify your GCash account now 461,1
Final warning: account will be closed 185,1
Click here to secure your GCash account 424,1
Meeting at 3 PM 298,0
Punta tayo sa mall 371,0
Punta tayo sa mall 423,0
URGENT: Verify your Maya account now 477,1
URGENT: Verify your GCash account now 346,1
Meeting at 3 PM 399,0
Nanalo ka ng ₱5000! I-claim ngayon 328,1
Security alert: confirm your identity now 266,1
Security alert: confirm your identity now 468,1
Hello kumusta ka 342,0
"Pakicheck ang iyong account, may problema 234",1
Anong oras tayo magkikita 186,0
Click here to secure your Maya account 490,1
Meeting at 3 PM 477,0
Nanalo ka ng ₱5000! I-claim ngayon 1,1
Hello kumusta ka 279,0
Security alert: confirm your identity now 171,1
Nanalo ka ng ₱5000! I-claim ngayon 48,1
Click here to secure your Maya account 97,1
Final warning: account will be closed 474,1
Nanalo ka ng ₱5000! I-claim ngayon 363,1
Final warning: account will be closed 411,1
Meeting at 3 PM 109,0
"Ang iyong Metrobank account ay naka-lock, i-verify agad 340",1
"BDO ALERT: Unauthorized login, confirm details 60",1
See you bukas 442,0
"BDO ALERT: Unauthorized login, confirm details 359",1
Click here to secure your Metrobank account 317,1
Happy birthday! 487,0
Anong oras tayo magkikita 430,0
URGENT: Verify your Metrobank account now 50,1
I'll call you later 293,0
"BDO ALERT: Unauthorized login, confirm details 312",1
Meeting at 3 PM 470,0
Hello kumusta ka 50,0
Let's eat mamaya 433,0
Anong oras tayo magkikita 189,0
Anong oras tayo magkikita 165,0
Nanalo ka ng ₱5000! I-claim ngayon 95,1
"GCash: Suspicious activity detected, verify now 437",1
URGENT: Verify your BDO account now 243,1
Final warning: account will be closed 458,1
Nanalo ka ng ₱5000! I-claim ngayon 14,1
Happy birthday! 483,0
"Pakicheck ang iyong account, may problema 313",1
Hello kumusta ka 183,0
Security alert: confirm your identity now 212,1
Punta tayo sa mall 492,0
Salamat sa tulong 91,0
See you bukas 229,0
"Ang iyong Maya account ay naka-lock, i-verify agad 43",1
Maya: Update your info to avoid suspension 354,1
Let's eat mamaya 218,0
"Pakicheck ang iyong account, may problema 473",1
Hello kumusta ka 359,0
Anong oras tayo magkikita 48,0
Happy birthday! 90,0
"Pakicheck ang iyong account, may problema 462",1
Good morning 209,0
Anong oras tayo magkikita 261,0
Punta tayo sa mall 82,0
Maya: Update your info to avoid suspension 481,1
URGENT: Verify your BDO account now 412,1
"GCash: Suspicious activity detected, verify now 379",1
Click here to secure your GCash account 367,1
"BDO ALERT: Unauthorized login, confirm details 108",1
"GCash: Suspicious activity detected, verify now 23",1
Anong oras tayo magkikita 258,0
Final warning: account will be closed 113,1
"BDO ALERT: Unauthorized login, confirm details 430",1
Final warning: account will be closed 298,1
Security alert: confirm your identity now 32,1
Maya: Update your info to avoid suspension 149,1
Happy birthday! 240,0
Let's eat mamaya 341,0
Punta tayo sa mall 264,0
Punta tayo sa mall 124,0
Salamat sa tulong 30,0
Security alert: confirm your identity now 186,1
Good morning 71,0
"Pakicheck ang iyong account, may problema 390",1
Salamat sa tulong 66,0
See you bukas 76,0
Punta tayo sa mall 74,0
"Ang iyong BDO account ay naka-lock, i-verify agad 396",1
Salamat sa tulong 15,0
"GCash: Suspicious activity detected, verify now 26",1
URGENT: Verify your Metrobank account now 285,1
"Ang iyong PayPal account ay naka-lock, i-verify agad 145",1
"Pakicheck ang iyong account, may problema 151",1
Punta tayo sa mall 358,0
Security alert: confirm your identity now 318,1
URGENT: Verify your Metrobank account now 8,1
Security alert: confirm your identity now 37,1
See you bukas 307,0
Meeting at 3 PM 35,0
See you bukas 87,0
"Pakicheck ang iyong account, may problema 415",1
"Pakicheck ang iyong account, may problema 221",1
Salamat sa tulong 479,0
"Pakicheck ang iyong account, may problema 434",1
Nanalo ka ng ₱5000! I-claim ngayon 175,1
Nanalo ka ng ₱5000! I-claim ngayon 189,1
I'll call you later 53,0
See you bukas 147,0
"BDO ALERT: Unauthorized login, confirm details 463",1
Click here to secure your Maya account 204,1
Salamat sa tulong 351,0
I'll call you later 200,0
Maya: Update your info to avoid suspension 311,1
Salamat sa tulong 272,0
Happy birthday! 469,0
"Pakicheck ang iyong account, may problema 292",1
Let's eat mamaya 344,0
Click here to secure your BDO account 425,1
See you bukas 319,0
Let's eat mamaya 7,0
Meeting at 3 PM 464,0
